Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,Country,Employment,ConvertedCompYearly
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,15.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",124840.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,4.0,Ukraine,"Employed, full-time;Student, full-time",50000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,11.0,United States of America,"Employed, full-time",230000.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,23.0,United States of America,"Employed, full-time",85000.0
35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20.0,18.0,United States of America,"Employed, full-time",160000.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,23.0,United States of America,"Employed, full-time",110000.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,18.0,United States of America,"Employed, full-time",190000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,17.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",161783.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Student, part-time",146496.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.0,1.0,Russian Federation,"Employed, full-time",12773.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10.0,Germany,"Employed, full-time",69814.0
45-54 years old,In-person,"Associate degree (A.A., A.S., etc.)",10.0,10.0,United States of America,"Employed, full-time",115000.0
25-34 years old,Remote,Some college/university study without earning a degree,11.0,9.0,South Africa,"Employed, full-time;Independent contractor, freelancer, or self-employed",64570.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,7.0,France,"Independent contractor, freelancer, or self-employed",101896.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,11.0,Czech Republic,"Employed, full-time",52122.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,8.0,France,"Employed, full-time",54777.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,24.0,Canada,"Employed, full-time",254425.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,15.0,Germany,"Student, part-time;Employed, part-time",27926.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,37.0,27.0,Italy,"Independent contractor, freelancer, or self-employed",107406.0
25-34 years old,Remote,Some college/university study without earning a degree,12.0,12.0,Brazil,"Employed, full-time",37297.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,11.0,Germany,"Employed, full-time",85925.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,26.0,United States of America,"Employed, full-time",140000.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,9.0,"Iran, Islamic Republic of...","Employed, full-time",213840.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,7.0,Italy,"Student, full-time;Independent contractor, freelancer, or self-employed",4833.0
55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47.0,40.0,United States of America,"Employed, full-time",200000.0
18-24 years old,"Hybrid (some remote, some in-person)",Primary/elementary school,1.0,0.0,Ukraine,"Employed, full-time",148.0
25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",6.0,4.0,United States of America,"Employed, full-time",93000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,14.0,Russian Federation,"Employed, full-time",67227.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10.0,Germany,"Employed, full-time",144998.0
35-44 years old,Remote,Some college/university study without earning a degree,18.0,16.0,France,"Independent contractor, freelancer, or self-employed",59073.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,17.0,Canada,"Employed, full-time",119943.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19.0,9.0,United States of America,"Employed, full-time",100000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,Dominican Republic,"Employed, full-time",14142.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,22.0,United States of America,"Employed, full-time",102000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,15.0,Turkey,"Employed, full-time",123654.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,1.0,Ukraine,"Employed, full-time",650.0
35-44 years old,Remote,Some college/university study without earning a degree,32.0,20.0,Germany,"Independent contractor, freelancer, or self-employed",42962.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,11.0,United States of America,"Employed, full-time",170000.0
25-34 years old,Remote,Some college/university study without earning a degree,18.0,5.0,Austria,"Student, part-time;Employed, part-time",42962.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,1.0,United States of America,"Employed, full-time;Student, full-time",136000.0
55-64 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,28.0,Italy,"Employed, full-time",48333.0
25-34 years old,Remote,Some college/university study without earning a degree,16.0,3.0,United States of America,"Independent contractor, freelancer, or self-employed",3000.0
55-64 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",48.0,44.0,Switzerland,"Employed, full-time",167125.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,38.0,25.0,France,"Employed, full-time;Independent contractor, freelancer, or self-employed",53703.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",16.0,13.0,Peru,"Employed, full-time",79218.0
45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,20.0,United States of America,"Employed, full-time",175000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,16.0,Germany,"Employed, full-time",85925.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10.0,Bolivia,"Employed, full-time",31200.0
25-34 years old,Remote,Something else,16.0,11.0,Germany,"Independent contractor, freelancer, or self-employed;Employed, part-time",55851.0
45-54 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25.0,25.0,United States of America,"Employed, full-time",130000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,10.0,France,"Employed, full-time",90221.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,0.0,Morocco,"Employed, full-time",3618.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,13.0,United States of America,"Employed, full-time",150000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,4.0,India,"Employed, full-time",13160.0
25-34 years old,Remote,Some college/university study without earning a degree,15.0,9.0,United States of America,"Employed, full-time",160000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,13.0,Turkey,"Employed, full-time",2411.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,7.0,Luxembourg,"Independent contractor, freelancer, or self-employed",118147.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,17.0,Georgia,"Employed, full-time",50340.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",9.0,3.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",49681.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,9.0,United States of America,"Employed, full-time",100000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10.0,Saudi Arabia,"Independent contractor, freelancer, or self-employed;Employed, part-time",16532.0
35-44 years old,Remote,"Associate degree (A.A., A.S., etc.)",15.0,15.0,United States of America,"Employed, full-time",100000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26.0,22.0,United States of America,"Employed, full-time",220000.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,2.0,Ukraine,"Employed, full-time",494.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,13.0,United States of America,"Employed, full-time",220000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,11.0,Brazil,"Employed, full-time;Independent contractor, freelancer, or self-employed",10630.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,22.0,United States of America,"Employed, full-time",250000.0
25-34 years old,Remote,Some college/university study without earning a degree,20.0,12.0,Canada,"Employed, full-time",218079.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,35.0,United States of America,"Employed, full-time",140000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",37.0,26.0,Germany,"Independent contractor, freelancer, or self-employed",42962.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",75159.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33.0,25.0,United States of America,"Employed, full-time",150000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,9.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",104458.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5.0,Ukraine,"Employed, full-time",65000.0
45-54 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20.0,15.0,United States of America,"Employed, full-time",100000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,7.0,Ireland,"Employed, full-time",47259.0
65 years or older,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,31.0,United States of America,"Employed, full-time",150000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,11.0,United States of America,"Independent contractor, freelancer, or self-employed",150000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,12.0,Germany,"Employed, full-time",96666.0
35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",14.0,10.0,United States of America,"Employed, full-time",150000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,8.0,Ukraine,"Employed, full-time",1740.0
55-64 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45.0,41.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",152865.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,2.0,Romania,"Employed, full-time",3021.0
45-54 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",26.0,25.0,Italy,"Employed, full-time",29000.0
18-24 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,2.0,Ukraine,"Employed, full-time",163.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,10.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",67516.0
55-64 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",41.0,36.0,Italy,"Employed, full-time",64444.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,20.0,United States of America,"Employed, full-time",185000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,7.0,Switzerland,"Employed, part-time",88019.0
25-34 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24.0,24.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",55000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10.0,Spain,"Employed, full-time",85925.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,11.0,Spain,"Employed, full-time",91295.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5.0,India,"Employed, part-time",5982.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,12.0,France,"Employed, full-time",67666.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,11.0,Italy,"Employed, full-time",178343.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,6.0,France,"Employed, full-time",63370.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,14.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",85350.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,United States of America,"Employed, full-time",120000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,20.0,Germany,"Employed, full-time",97740.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,7.0,United States of America,"Employed, full-time",205000.0
25-34 years old,Remote,Some college/university study without earning a degree,18.0,11.0,Cyprus,"Employed, full-time",93980.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,9.0,Paraguay,"Independent contractor, freelancer, or self-employed",100000.0
18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9.0,6.0,Switzerland,"Employed, full-time",128129.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",16.0,12.0,France,"Employed, full-time",44037.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,1.0,United States of America,"Employed, full-time",101000.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,40.0,30.0,Ireland,"Independent contractor, freelancer, or self-employed",161109.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,14.0,Germany,"Employed, full-time",89147.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10.0,Lithuania,"Employed, full-time",90221.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10.0,Italy,"Employed, full-time",86999.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,17.0,United States of America,"Employed, full-time",190000.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,0.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",31847.0
45-54 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35.0,30.0,Italy,"Employed, full-time",37592.0
55-64 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32.0,30.0,Netherlands,"Employed, full-time",53703.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,11.0,Netherlands,"Employed, full-time",150369.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0,1.0,Germany,"Employed, full-time",10955.0
25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",12.0,6.0,Slovenia,"Employed, full-time;Independent contractor, freelancer, or self-employed",53703.0
35-44 years old,Remote,Some college/university study without earning a degree,24.0,17.0,Romania,"Employed, full-time;Independent contractor, freelancer, or self-employed",161109.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,24.0,Spain,"Employed, full-time",32222.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,11.0,India,"Employed, full-time",47854.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,United States of America,"Employed, full-time",118000.0
45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33.0,20.0,United States of America,"Employed, full-time",150000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,2.0,United States of America,"Employed, full-time",87250.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,5.0,Germany,"Employed, full-time",55851.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,22.0,Spain,"Employed, full-time",42962.0
45-54 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",40.0,35.0,Singapore,"Employed, part-time",295662.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Netherlands,"Employed, full-time",56925.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,8.0,Germany,"Employed, full-time",91295.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,18.0,Russian Federation,"Employed, full-time",56022.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,United States of America,"Employed, full-time",124000.0
18-24 years old,In-person,Some college/university study without earning a degree,16.0,4.0,Brazil,"Employed, full-time",10070.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,11.0,Italy,"Employed, full-time",91295.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45.0,40.0,United States of America,"Employed, full-time",120000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,1.0,France,"Employed, full-time",44037.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,7.0,Pakistan,"Employed, full-time",85925.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,30.0,26.0,Netherlands,"Employed, full-time",6230.0
45-54 years old,Remote,Some college/university study without earning a degree,2.0,2.0,Ukraine,"Employed, full-time",4937.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,17.0,Germany,"Employed, full-time",139628.0
25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",9.0,5.0,Canada,"Employed, full-time;Independent contractor, freelancer, or self-employed",181732.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,10.0,United States of America,"Employed, full-time",205000.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,20.0,United States of America,"Independent contractor, freelancer, or self-employed",250000.0
55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,20.0,United States of America,"Independent contractor, freelancer, or self-employed",250000.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,20.0,"Venezuela, Bolivarian Republic of...","Independent contractor, freelancer, or self-employed",12000.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,7.0,Japan,"Employed, full-time",50915.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,6.0,France,"Employed, full-time",69814.0
35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",34.0,18.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",49681.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,13.0,Latvia,"Employed, full-time",32222.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,5.0,United States of America,"Employed, full-time",257000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,13.0,United States of America,"Employed, full-time",163000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,9.0,Sweden,"Employed, full-time",70584.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,15.0,Costa Rica,"Employed, full-time",200000.0
55-64 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",44.0,38.0,Italy,"Independent contractor, freelancer, or self-employed",107406.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",27.0,12.0,Poland,"Employed, full-time",74239.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,4.0,India,"Employed, full-time;Independent contractor, freelancer, or self-employed",9571.0
35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19.0,5.0,France,"Employed, full-time",66592.0
65 years or older,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",48.0,20.0,United Kingdom of Great Britain and Northern Ireland,"Employed, part-time",57325.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32.0,23.0,United Kingdom of Great Britain and Northern Ireland,"Employed, part-time",56051.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10.0,Italy,"Employed, full-time",27926.0
45-54 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",40.0,25.0,Germany,"Independent contractor, freelancer, or self-employed",214812.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,7.0,United States of America,"Employed, full-time",105000.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38.0,38.0,Brazil,"Employed, full-time",49233.0
35-44 years old,In-person,Some college/university study without earning a degree,20.0,18.0,Czech Republic,"Employed, full-time",43435.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,6.0,Ukraine,"Employed, full-time",48000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,12.0,United States of America,"Employed, full-time",70000.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29.0,25.0,United States of America,"Employed, full-time",150000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,13.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",127388.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",37.0,31.0,Spain,"Employed, full-time",53703.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,12.0,Netherlands,"Employed, full-time",91295.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,15.0,Canada,"Employed, full-time",122124.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,14.0,Spain,"Employed, full-time",80555.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10.0,Norway,"Employed, full-time",149746.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,9.0,Germany,"Independent contractor, freelancer, or self-employed",137136.0
25-34 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16.0,14.0,Austria,"Employed, full-time",80555.0
